program_name,university,comments,date_added,entry_url,applicant_status,acceptance_date,rejection_date,start_term,student_type,gre_score,gre_v_score,degree,gpa,gre_aw,raw_listing,source_page
Rejected on Apr 28 Fall 2026 American,Rejected on Apr 28 Fall 2026 American,,Rejected on Apr 28,https://www.thegradcafe.com/survey?page=2&sort=newest,Rejected,,Apr 28,Fall 2026,American,,,,,,Rejected on Apr 28 Fall 2026 American,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Toledo,University of Toledo,,University of Toledo,https://www.thegradcafe.com/result/1020260,Rejected,,May 15,,,,,PhD,,,"University of Toledo Physics PhD May 24, 2026 Rejected on May 15 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Rejected on May 15 Fall 2026 American,Rejected on May 15 Fall 2026 American,,Rejected on May 15,https://www.thegradcafe.com/survey?page=2&sort=newest,Rejected,,May 15,Fall 2026,American,,,,,,Rejected on May 15 Fall 2026 American,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Texas at Arlington,University of Texas at Arlington,,University of Texas at Arlington,https://www.thegradcafe.com/result/1020259,Rejected,,May 23,,,,,PhD,,,"University of Texas at Arlington Physics PhD May 24, 2026 Rejected on May 23 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Rejected on May 23 Fall 2026 American,Rejected on May 23 Fall 2026 American,,Rejected on May 23,https://www.thegradcafe.com/survey?page=2&sort=newest,Rejected,,May 23,Fall 2026,American,,,,,,Rejected on May 23 Fall 2026 American,https://www.thegradcafe.com/survey?page=2&sort=newest
Texas Tech University,Texas Tech University,,Texas Tech University,https://www.thegradcafe.com/result/1020258,Accepted,Apr 17,,,,,,Masters,,,"Texas Tech University Economics Masters May 24, 2026 Accepted on Apr 17 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Accepted on Apr 17 Fall 2026 International GRE 165 GRE V 165 GRE AW 5.00 GPA 3.45,Accepted on Apr 17 Fall 2026 International GRE 165 GRE V 165 GRE AW 5.00 GPA 3.45,,Accepted on Apr 17,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,Apr 17,,Fall 2026,International,165,165,,3.45,5.00,Accepted on Apr 17 Fall 2026 International GRE 165 GRE V 165 GRE AW 5.00 GPA 3.45,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Utah,University of Utah,,University of Utah,https://www.thegradcafe.com/result/1020257,Rejected,,May 23,,,,,PhD,,,"University of Utah Computer Science PhD May 24, 2026 Rejected on May 23 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Rejected on May 23 Fall 2026 International GPA 3.88,Rejected on May 23 Fall 2026 International GPA 3.88,,Rejected on May 23,https://www.thegradcafe.com/survey?page=2&sort=newest,Rejected,,May 23,Fall 2026,International,,,,3.88,,Rejected on May 23 Fall 2026 International GPA 3.88,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Toronto,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1020256,Accepted,Apr 24,,,,,,Masters,,,"University of Toronto Social Work Masters May 24, 2026 Accepted on Apr 24 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Accepted on Apr 24 Fall 2026 Other GPA 4.00,Accepted on Apr 24 Fall 2026 Other GPA 4.00,,Accepted on Apr 24,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,Apr 24,,Fall 2026,,,,,4.00,,Accepted on Apr 24 Fall 2026 Other GPA 4.00,https://www.thegradcafe.com/survey?page=2&sort=newest
None,Accepted off of waitlist for 2 year/foundational stream,,,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,,,,,,,,,,Accepted off of waitlist for 2 year/foundational stream,https://www.thegradcafe.com/survey?page=2&sort=newest
Wilfrid Laurier University,Wilfrid Laurier University,,Wilfrid Laurier University,https://www.thegradcafe.com/result/1020255,Accepted,May 15,,,,,,Masters,,,"Wilfrid Laurier University Social Work, Regular Stream Masters May 24, 2026 Accepted on May 15 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Accepted on May 15 Fall 2026 Other GPA 4.00,Accepted on May 15 Fall 2026 Other GPA 4.00,,Accepted on May 15,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,May 15,,Fall 2026,,,,,4.00,,Accepted on May 15 Fall 2026 Other GPA 4.00,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Washington,University of Washington,,University of Washington,https://www.thegradcafe.com/result/1020254,Accepted,May 22,,,,,,Masters,,,"University of Washington Architecture Masters May 24, 2026 Accepted on May 22 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Accepted on May 22 Fall 2026 International GPA 3.62,Accepted on May 22 Fall 2026 International GPA 3.62,,Accepted on May 22,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,May 22,,Fall 2026,International,,,,3.62,,Accepted on May 22 Fall 2026 International GPA 3.62,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Chicago,University of Chicago,,University of Chicago,https://www.thegradcafe.com/result/1020253,Accepted,May 22,,,,,,Masters,,,"University of Chicago Computational and Applied Mathematics Masters May 23, 2026 Accepted on May 22 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Accepted on May 22 Fall 2026 American GPA 3.47,Accepted on May 22 Fall 2026 American GPA 3.47,,Accepted on May 22,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,May 22,,Fall 2026,American,,,,3.47,,Accepted on May 22 Fall 2026 American GPA 3.47,https://www.thegradcafe.com/survey?page=2&sort=newest
Islamic Azad University Science and Research Branch,Islamic Azad University Science and Research Branch,,Islamic Azad University Science and Research Branch,https://www.thegradcafe.com/result/1020252,Waitlisted,,,,,,,Masters,,,"Islamic Azad University Science and Research Branch Hospitality and Tourism Management Masters May 23, 2026 Wait listed on Sep 26 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Wait listed on Sep 26 Fall 2026 International GPA 4.00,Wait listed on Sep 26 Fall 2026 International GPA 4.00,,Wait listed on Sep 26,https://www.thegradcafe.com/survey?page=2&sort=newest,Waitlisted,,,Fall 2026,International,,,,4.00,,Wait listed on Sep 26 Fall 2026 International GPA 4.00,https://www.thegradcafe.com/survey?page=2&sort=newest
University of British Columbia,University of British Columbia,,University of British Columbia,https://www.thegradcafe.com/result/1020251,Rejected,,May 22,,,,,Masters,,,"University of British Columbia Computer Science Masters May 23, 2026 Rejected on May 22 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Rejected on May 22 Fall 2026 International GPA 3.85,Rejected on May 22 Fall 2026 International GPA 3.85,,Rejected on May 22,https://www.thegradcafe.com/survey?page=2&sort=newest,Rejected,,May 22,Fall 2026,International,,,,3.85,,Rejected on May 22 Fall 2026 International GPA 3.85,https://www.thegradcafe.com/survey?page=2&sort=newest
Rochester Institute of Technology,Rochester Institute of Technology,,Rochester Institute of Technology,https://www.thegradcafe.com/result/1020250,Rejected,,May 05,,,,,PhD,,,"Rochester Institute of Technology Astrophysics PhD May 23, 2026 Rejected on May 05 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Rejected on May 05 Fall 2026 International GPA 3.86,Rejected on May 05 Fall 2026 International GPA 3.86,,Rejected on May 05,https://www.thegradcafe.com/survey?page=2&sort=newest,Rejected,,May 05,Fall 2026,International,,,,3.86,,Rejected on May 05 Fall 2026 International GPA 3.86,https://www.thegradcafe.com/survey?page=2&sort=newest
University of Houston,University of Houston,,University of Houston,https://www.thegradcafe.com/result/1020249,Accepted,Apr 24,,,,,,PhD,,,"University of Houston Political Science PhD May 23, 2026 Accepted on Apr 24 Total comments",https://www.thegradcafe.com/survey?page=2&sort=newest
Accepted on Apr 24 Fall 2026 International,Accepted on Apr 24 Fall 2026 International,,Accepted on Apr 24,https://www.thegradcafe.com/survey?page=2&sort=newest,Accepted,Apr 24,,Fall 2026,International,,,,,,Accepted on Apr 24 Fall 2026 International,https://www.thegradcafe.com/survey?page=2&sort=newest
University of British Columbia,University of British Columbia,,University of British Columbia,https://www.thegradcafe.com/result/1020248,Rejected,,May 22,,,,,Masters,,,"University of British Columbia Computer Science Masters May 22, 2026 Rejected on May 22 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest
Rejected on May 22 Fall 2026 American,Rejected on May 22 Fall 2026 American,,Rejected on May 22,https://www.thegradcafe.com/survey?page=3&sort=newest,Rejected,,May 22,Fall 2026,American,,,,,,Rejected on May 22 Fall 2026 American,https://www.thegradcafe.com/survey?page=3&sort=newest
South Dakota State University,South Dakota State University,,South Dakota State University,https://www.thegradcafe.com/result/1020247,Accepted,May 22,,,,,,PhD,,,"South Dakota State University Social Science PhD May 22, 2026 Accepted on May 22 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest
Accepted on May 22 Fall 2026 International GPA 3.44,Accepted on May 22 Fall 2026 International GPA 3.44,,Accepted on May 22,https://www.thegradcafe.com/survey?page=3&sort=newest,Accepted,May 22,,Fall 2026,International,,,,3.44,,Accepted on May 22 Fall 2026 International GPA 3.44,https://www.thegradcafe.com/survey?page=3&sort=newest
University of Florida,University of Florida,,University of Florida,https://www.thegradcafe.com/result/1020246,Rejected,,May 22,,,,,PhD,,,"University of Florida Computer Science PhD May 22, 2026 Rejected on May 22 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest
Rejected on May 22 Fall 2026 International GPA 3.94,Rejected on May 22 Fall 2026 International GPA 3.94,,Rejected on May 22,https://www.thegradcafe.com/survey?page=3&sort=newest,Rejected,,May 22,Fall 2026,International,,,,3.94,,Rejected on May 22 Fall 2026 International GPA 3.94,https://www.thegradcafe.com/survey?page=3&sort=newest
University of Wisconsin - Madison,University of Wisconsin - Madison,,University of Wisconsin - Madison,https://www.thegradcafe.com/result/1020245,Accepted,Apr 09,,,,,,Masters,,,"University of Wisconsin - Madison Information Science Masters May 22, 2026 Accepted on Apr 09 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest
Accepted on Apr 09 Fall 2026 American,Accepted on Apr 09 Fall 2026 American,,Accepted on Apr 09,https://www.thegradcafe.com/survey?page=3&sort=newest,Accepted,Apr 09,,Fall 2026,American,,,,,,Accepted on Apr 09 Fall 2026 American,https://www.thegradcafe.com/survey?page=3&sort=newest
University of St. Augustine for Health Sciences,University of St. Augustine for Health Sciences,,University of St. Augustine for Health Sciences,https://www.thegradcafe.com/result/1020244,Accepted,May 23,,,,,,Masters,,,"University of St. Augustine for Health Sciences Speech Language Pathology Masters May 22, 2026 Accepted on May 23 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest
Accepted on May 23 Fall 2025 American,Accepted on May 23 Fall 2025 American,,Accepted on May 23,https://www.thegradcafe.com/survey?page=3&sort=newest,Accepted,May 23,,Fall 2025,American,,,,,,Accepted on May 23 Fall 2025 American,https://www.thegradcafe.com/survey?page=3&sort=newest
Johns Hopkins University,Johns Hopkins University,,Johns Hopkins University,https://www.thegradcafe.com/result/1020243,Rejected,,May 21,,,,,PhD,,,"Johns Hopkins University Chemical And Biomolecular Engineering PhD May 21, 2026 Rejected on May 21 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest
