program_name,university,comments,date_added,entry_url,applicant_status,acceptance_date,rejection_date,start_term,student_type,gre_score,gre_v_score,degree,gpa,gre_aw,raw_listing,source_page,initial_cluster,final_cluster
Artificial Intelligence,Columbia University,,Columbia University,https://www.thegradcafe.com/result/1020238,Accepted,May 20,,Fall 2026,American,,,Masters,4.0,,"Columbia University Artificial Intelligence Masters May 20, 2026 Accepted on May 20 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,25,79
Physics,University of Notre Dame,,University of Notre Dame,https://www.thegradcafe.com/result/1020237,Rejected,,May 19,Fall 2026,American,,,PhD,3.89,,"University of Notre Dame Physics PhD May 20, 2026 Rejected on May 19 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,11,8
Robotics,Georgia Institute of Technology,,Georgia Institute of Technology,https://www.thegradcafe.com/result/1020236,Rejected,,May 20,Fall 2026,American,,,Masters,3.6,,"Georgia Institute of Technology Robotics Masters May 20, 2026 Rejected on May 20 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,46,57
Electrical And Computer Engineering,"University of California, San Diego",,"University of California, San Diego",https://www.thegradcafe.com/result/1020235,Rejected,,Apr 14,Fall 2026,International,139.0,164.0,Masters,3.42,3.0,"University of California, San Diego Electrical And Computer Engineering Masters May 20, 2026 Rejected on Apr 14 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,16,0
Mathematics,University of Alberta,,University of Alberta,https://www.thegradcafe.com/result/1020234,Rejected,,May 20,Fall 2026,International,,,PhD,3.36,,"University of Alberta Mathematics PhD May 20, 2026 Rejected on May 20 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,26,12
Political Science,Stockholm University,,Stockholm University,https://www.thegradcafe.com/result/1020233,Rejected,,May 19,Fall 2026,International,,,PhD,,,"Stockholm University Political Science PhD May 19, 2026 Rejected on May 19 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,3,20
Applied Physics,Delft University of Technology,,Delft University of Technology,https://www.thegradcafe.com/result/1020232,Accepted,May 19,,Fall 2026,International,,,Masters,3.69,,"Delft University of Technology Applied Physics Masters May 19, 2026 Accepted on May 19 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,24,69
Statistics,Ecole Polytechnique Federale De Lausanne (EPFL),,Ecole Polytechnique Federale De Lausanne (EPFL),https://www.thegradcafe.com/result/1020231,Rejected,,Mar 31,Fall 2026,International,,,Masters,4.0,,"Ecole Polytechnique Federale De Lausanne (EPFL) Statistics Masters May 19, 2026 Rejected on Mar 31 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,18,7
English and American Literature,University of Manchester,,University of Manchester,https://www.thegradcafe.com/result/1020230,Rejected,,May 19,,American,,,PhD,,,"University of Manchester English and American Literature PhD May 19, 2026 Rejected on May 19 Total comments",https://www.thegradcafe.com/survey?page=3&sort=newest,7,78
Biology,Florida International University,,Florida International University,https://www.thegradcafe.com/result/1020228,Accepted,May 01,,Fall 2026,International,,,PhD,3.71,,"Florida International University Biology PhD May 18, 2026 Accepted on May 01 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,0,46
Environmental Health Sciences,Johns Hopkins Bloomberg School of Public Health,,Johns Hopkins Bloomberg School of Public Health,https://www.thegradcafe.com/result/1020227,Accepted,May 18,,Fall 2026,American,,,Masters,4.0,,"Johns Hopkins Bloomberg School of Public Health Environmental Health Sciences Masters May 18, 2026 Accepted on May 18 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,34,76
EDMT,Ecole Polytechnique Federale De Lausanne (EPFL),,Ecole Polytechnique Federale De Lausanne (EPFL),https://www.thegradcafe.com/result/1020226,Accepted,May 05,,Spring 2026,International,,,PhD,3.97,,"Ecole Polytechnique Federale De Lausanne (EPFL) EDMT PhD May 18, 2026 Accepted on May 05 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,25,3
Psychology,West Chester University of Pennsylvania,,West Chester University of Pennsylvania,https://www.thegradcafe.com/result/1020225,Accepted,May 18,,Fall 2026,American,,,Masters,3.7,,"West Chester University of Pennsylvania Psychology Masters May 18, 2026 Accepted on May 18 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,7,1
Biomedical Engineering,university of british columbia,,university of british columbia,https://www.thegradcafe.com/result/1020224,Rejected,,May 19,Fall 2026,International,,,PhD,,,"university of british columbia Biomedical Engineering PhD May 17, 2026 Rejected on May 19 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,38,30
Organic Chemistry,University of Vermont,,University of Vermont,https://www.thegradcafe.com/result/1020223,Accepted,Apr 22,,Fall 2026,International,,,PhD,,,"University of Vermont Organic Chemistry PhD May 17, 2026 Accepted on Apr 22 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,48,11
Finance,University of Massachusetts,,University of Massachusetts,https://www.thegradcafe.com/result/1020222,Rejected,,Apr 01,Fall 2026,International,,,PhD,3.6,,"University of Massachusetts Finance PhD May 16, 2026 Rejected on Apr 01 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,25,51
Biostatistics,Southern Methodist University,,Southern Methodist University,https://www.thegradcafe.com/result/1020221,Rejected,,Mar 04,Fall 2026,International,,,PhD,,,"Southern Methodist University Biostatistics PhD May 16, 2026 Rejected on Mar 04 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,0,10
Health Research Methodology,McMaster University,,McMaster University,https://www.thegradcafe.com/result/1020220,Rejected,,Feb 19,Fall 2026,,,,PhD,,,"McMaster University Health Research Methodology PhD May 16, 2026 Rejected on Feb 19 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,0,64
Chemistry,University of Iowa,,University of Iowa,https://www.thegradcafe.com/result/1020219,Rejected,,May 08,Fall 2026,International,,,PhD,3.39,,"University of Iowa Chemistry PhD May 16, 2026 Rejected on May 08 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,7,11
Bioengineering,"University of California, Los Angeles",,"University of California, Los Angeles",https://www.thegradcafe.com/result/1020218,Accepted,Feb 16,,Fall 2026,International,,,Masters,,,"University of California, Los Angeles Bioengineering Masters May 15, 2026 Accepted on Feb 16 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,25,56
Biomedical Engineering,"University of California, Davis",,"University of California, Davis",https://www.thegradcafe.com/result/1020217,Accepted,Jan 27,,Fall 2026,International,,,PhD,,,"University of California, Davis Biomedical Engineering PhD May 15, 2026 Accepted on Jan 27 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,38,30
Molecular Genetics,University of Toronto,,University of Toronto,https://www.thegradcafe.com/result/1020216,Accepted,Apr 02,,Fall 2026,International,,,PhD,,,"University of Toronto Molecular Genetics PhD May 15, 2026 Accepted on Apr 02 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,25,3
MIIPS- Advanced,Carnegie Mellon University,,Carnegie Mellon University,https://www.thegradcafe.com/result/1020214,Accepted,Feb 24,,Fall 2026,International,,,Masters,,,"Carnegie Mellon University MIIPS- Advanced Masters May 15, 2026 Accepted on Feb 24 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,25,3
Computer Science,Vanderbilt University,,Vanderbilt University,https://www.thegradcafe.com/result/1020213,Rejected,,May 15,Fall 2026,International,,,PhD,3.85,,"Vanderbilt University Computer Science PhD May 15, 2026 Rejected on May 15 Total comments",https://www.thegradcafe.com/survey?page=4&sort=newest,1,2
